Loaded plugins: auto-update-debuginfo, dellsysid, fastestmirror, refresh-
              : packagekit, security
ID     | Login user               | Date and time    | Action(s)      | Altered
    16 | 31236                    | 2014-04-07 11:46 | Install        |    7 EE
    15 | 31236                    | 2014-04-07 11:46 | Install        |    1 EE
    14 | 31236                    | 2014-04-07 11:42 | Install        |    1   
    13 | Jason D. Bakos <jbakos>  | 2014-04-02 14:14 | Install        |    1   
    12 |  <zhangfan>              | 2014-03-29 21:06 | Install        |    1   
    11 |  <zhangfan>              | 2014-03-19 14:12 | Install        |    1   
    10 |  <zhangfan>              | 2014-03-19 13:55 | Install        |   50   
     9 |  <zhangfan>              | 2014-03-19 13:54 | Install        |   44   
     8 | 20998                    | 2014-03-18 13:47 | Update         |    7   
     7 | 501                      | 2014-03-14 12:20 | Install        |    3   
     6 | Jason D. Bakos <jbakos>  | 2014-03-13 14:39 | Install        |    1   
     5 | Jason D. Bakos <jbakos>  | 2014-03-13 14:11 | Install        |    1  <
     4 | 501                      | 2014-03-13 06:08 | I, O, U        |  396 >E
     3 | 501                      | 2014-03-13 06:02 | Install        |    1   
     2 | 501                      | 2014-03-13 06:02 | Update         |    5 EE
     1 | root <root>              | 2013-04-23 09:15 | Install        | 1314   
history list
